"id","invoice_id","subject_id","schedule_id","closing_date","tax_state","amount","tax","discount","ratio","adjust_amount","fraction","bill_amount","orderNo","memo","status","created_at","updated_at"
"8655","6865","1011","1190","2023-01-20","2","132000","13200","0","60.00","0","0.00","132000","1",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 05:21:19"
"8656","6865","1012","1300","2023-01-20","2","60000","6000","0","60.00","0","0.00","60000","2",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 05:21:19"
"8657","6865","1014","1194","2023-01-20","2","87000","8700","0","60.00","0","0.00","87000","3",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 05:21:19"
"8658","6865","1057","1226","2023-01-20","2","102000","10200","0","60.00","0","0.00","102000","4",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 05:21:19"
"8659","6865","1011","1191","2023-01-20","2","88000","8800","0","40.00","0","0.00","88000","5",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 05:21:19"
"8660","6865","1012","1301","2023-01-20","2","40000","4000","0","40.00","0","0.00","40000","6",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 05:21:19"
"8661","6865","1014","1195","2023-01-20","2","58000","5800","0","40.00","0","0.00","58000","7",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 05:21:19"
"8662","6865","1057","1227","2023-01-20","2","68000","6800","0","40.00","0","0.00","68000","8",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 05:21:19"
"8667","6868","1047","1246","2022-12-31","2","266400","26640","0","60.00","0","0.00","266400","1",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 05:38:30"
"8668","6868","1077","1329","2022-12-31","2","90000","9000","0","60.00","0","0.00","90000","2",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 05:38:30"
"8669","6868","1047","1247","2022-12-31","2","177600","17760","0","40.00","0","0.00","177600","3",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 05:38:30"
"8670","6868","1077","1330","2022-12-31","2","60000","6000","0","40.00","0","0.00","60000","4",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 05:38:30"
"8671","6869","1019","1206","2022-12-31","2","137000","13700","0","100.00","0","0.00","137000","1",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 12:26:17"
"8680","6874","1026","1284","2022-12-31","2","60000","6000","0","60.00","0","0.00","60000","1",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 06:11:01"
"8681","6874","1026","1285","2022-12-31","2","40000","4000","0","40.00","0","0.00","40000","2",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 06:11:01"
"8701","6894","1024","1333","2022-12-20","2","364944","31200","52944","60.00","0","0.00","312000","1",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 12:38:27"
"8702","6895","1015","1200","2022-12-31","2","72000","7200","0","60.00","0","0.00","72000","1",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 12:45:51"
"8703","6895","1049","1242","2022-12-31","2","84000","8400","0","60.00","0","0.00","84000","2",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 12:45:51"
"8704","6895","1015","1201","2022-12-31","2","48000","4800","0","40.00","0","0.00","48000","3",NULL,"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",NULL,"2023-01-29 12:45:51"
