id,code,class,name,kana,nickname,delegate,zip,address1,address2,address3,tel1,tel2,fax,mail,bill_closing,bill_issue,bill_payment,bill_payment_class,pay_ratio,pay_amount,pay_status,tax_state,closing_date,message1_title,message2_title,message3_title,message4_title,message1,message2,message3,message4,color,invoice_code,status,created_at,updated_at
1,NULL,31,管理者,NULL,管理者,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,25,10,0,100,0,10,1,NULL,NULL,御見積有効期限：,御支払条件：,NULL,上記合計金額には消費税は含まれておりません。ご請求時に別途請求となりますのでご了承下さい。,見積発効後一か月以内,現金１００％,NULL,black,NULL,0,2022/12/20 2:35,2022/12/20 2:35
10,NULL,26,事務所,NULL,事務所,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,25,10,0,100,0,10,1,NULL,NULL,御見積有効期限：,御支払条件：,NULL,上記合計金額には消費税は含まれておりません。ご請求時に別途請求となりますのでご了承下さい。,見積発効後一か月以内,現金１００％,NULL,black,NULL,0,2022/12/20 1:35,2022/12/20 1:35
20,NULL,21,現場,NULL,現場,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,25,10,0,100,0,10,1,NULL,NULL,御見積有効期限：,御支払条件：,NULL,上記合計金額には消費税は含まれておりません。ご請求時に別途請求となりますのでご了承下さい。,見積発効後一か月以内,現金１００％,NULL,black,NULL,0,2022/12/20 1:35,2022/12/20 1:35
,,,明石土建　株式会社,,,谷　吉將,673-0023,明石市西新町3丁目1番12号,,,078-923-0001,078-923-0207,,,10,,,,,,,,,,,,,,,,,,,,,
,,,株式会社　朝日建装,,,柴田　悦宏,547-0048,大阪市平野区平野馬場1丁目7番6号,,,06-6793-1688,06-6793-1288,,,31,,,,,,,,,,,,,,,,,,,,,
,,,株式会社　アーネストワン,,,明石営業所所長　赤澤　愼一,673-0028,明石市硯町2丁目6番7号グリーンマンションⅢ-1階,,,078-570-2055,078-570-2057,,,20,,,,,,,,,,,,,,,,,,,,,
,,,有限会社　今里工務店,,,西　登美雄,674-0065,明石市大久保町西島420-4,,,078-947-3600,078-947-3602,,,15,,,,,,,,,,,,,,,,,,,,,
,,,株式会社　上林電気商会,,,上林　将経,674-0084,明石市魚住町西岡627-1,,,078-946-0888,078-947-6001,,,20,,,,,,,,,,,,,,,,,,,,,
,,,株式会社　ウオハシ,,,魚橋　正吾,676-0805,高砂市米田町米田313-1,,,079-434-3800,079-434-3801,,,20,,,,,,,,,,,,,,,,,,,,,
,,,株式会社　大西瓦,,,大西　崇敬,674-0091,明石市二見町福里123-1,,,078-945-5247,078-945-5246,,,31,,,,,,,,,,,,,,,,,,,,,
