明石土建　株式会社,673-0023,明石市西新町3丁目1番12号,谷　吉將,078-923-0001,078-923-0207,10
株式会社　朝日建装,547-0048,大阪市平野区平野馬場1丁目7番6号,柴田　悦宏,06-6793-1688,06-6793-1288,31
株式会社　アーネストワン,673-0028,明石市硯町2丁目6番7号グリーンマンションⅢ-1階,明石営業所所長　赤澤　愼一,078-570-2055,078-570-2057,20
有限会社　今里工務店,674-0065,明石市大久保町西島420-4,西　登美雄,078-947-3600,078-947-3602,15
株式会社　上林電気商会,674-0084,明石市魚住町西岡627-1,上林　将経,078-946-0888,078-947-6001,20
株式会社　ウオハシ,676-0805,高砂市米田町米田313-1,魚橋　正吾,079-434-3800,079-434-3801,20
株式会社　大西瓦,674-0091,明石市二見町福里123-1,大西　崇敬,078-945-5247,078-945-5246,31
大西塗装,673-0503,三木市志染町窟町66,大西　哲也,079-485-7933,078-485-7933,31
有限会社　岡防水工業,655-0013,神戸市垂水区福田3丁目2-4,岡　幸治,078-706-3066,078-706-2388,31
株式会社　小川技硝,675-1114,加古郡稲美町国安245-1,萬　亘,079-440-5168,079-440-5216,0
株式会社　籠谷,676-0005,高砂市荒井町御旅2丁目1番17号,小畑　成久,079-442-2405,079-442-8666,31
梶田塗装,675-0005,加古川市神野町石守1丁目110-11,梶田　光治,090-3051-5067,079-451-6164,31
株式会社　河内設備工業,674-0094,明石市二見町西二見757-1,河内　祥晃,078-942-0348,078-943-0080,20
権神組　株式会社,653-0836,神戸市長田区神楽町2丁目3-1第1丸鹿ビル201,金　孝権,078-599-6438,078-599-6438,31
株式会社　KKT,675-0005,加古川市神野町石守1085-1,古賀　辰也,079-424-4410,079-490-9975,31
有限会社　建星,660-0063,尼崎市大庄北3丁目31-31,田畑　仁,06-6416-3306,06-6416-3307,20
株式会社　高栄建設,673-0036,明石市松江90番地,髙橋　仁志,078-924-8000,078-923-6180,20
株式会社　コージービルダー,651-2313,神戸市西区神出町田井269-1,八木　弘己,078-939-6555,078-939-6662,20
株式会社　神戸リフォームハウジング,651-2135,神戸市西区王塚台7-92,岡本　慎一郎,078-929-5439,078-929-5440,31
有限会社　工房きぬえもん,657-0067,神戸市灘区篠原本町3丁目8-5,植木　信行,078-802-8610,078-862-6608,20
株式会社　コベルコE&Mサービス,675-0137,加古川市金沢町1　㈱神戸製鋼　加古川製鉄所内,三宅　昭二,079-436-0623,079-437-3408,31
株式会社　三建,675-0064,加古川市加古川町溝之口584,川口　雅己,079-423-0032,079-423-3531,20
